Element,Item,Year,Unit,Consumption Value,Import Quantity Value,Export Quantity Value,Population
Feed,"Bran, rice",2015,tonnes,33777,,,
Feed,"Bran, rice",2016,tonnes,24313,,,
Feed,"Bran, rice",2017,tonnes,30215,,,
Feed,"Bran, rice",2018,tonnes,22077,,,
Feed,"Bran, rice",2019,tonnes,26504,,,
Feed,"Bran, rye",2010,tonnes,3600,,,
Feed,"Bran, rye",2011,tonnes,3600,,,
Feed,"Bran, rye",2012,tonnes,3600,,,
Feed,"Bran, rye",2013,tonnes,3600,,,
Feed,"Bran, rye",2014,tonnes,4945,,,
Feed,"Bran, rye",2015,tonnes,4922,,,
Feed,"Bran, rye",2016,tonnes,4405,,,
Feed,"Bran, rye",2017,tonnes,4774,,,
Feed,"Bran, rye",2018,tonnes,8293,,,
Feed,"Bran, rye",2019,tonnes,6638,,,
Tourist consumption,"Brazil nuts, shelled",2010,tonnes,0,,,
Tourist consumption,"Brazil nuts, shelled",2011,tonnes,0,,,
Tourist consumption,"Brazil nuts, shelled",2012,tonnes,0,,,
Tourist consumption,"Brazil nuts, shelled",2013,tonnes,0,,,
Tourist consumption,"Brazil nuts, shelled",2014,tonnes,,,,
Tourist consumption,"Brazil nuts, shelled",2015,tonnes,,,,
Tourist consumption,"Brazil nuts, shelled",2016,tonnes,,,,
Tourist consumption,"Brazil nuts, with shell",2010,tonnes,0,,,
Tourist consumption,"Brazil nuts, with shell",2011,tonnes,0,,,
Tourist consumption,"Brazil nuts, with shell",2012,tonnes,0,,,
Tourist consumption,"Brazil nuts, with shell",2013,tonnes,0,,,
Tourist consumption,"Brazil nuts, with shell",2014,tonnes,,,,
Tourist consumption,"Brazil nuts, with shell",2015,tonnes,,,,
Tourist consumption,"Brazil nuts, with shell",2016,tonnes,,,,
Tourist consumption,Bread,2010,tonnes,0,,,
Tourist consumption,Bread,2011,tonnes,0,,,
Tourist consumption,Bread,2012,tonnes,0,,,
Tourist consumption,Bread,2013,tonnes,0,,,
Tourist consumption,Bread,2014,tonnes,,,,
Tourist consumption,Bread,2015,tonnes,,,,
Tourist consumption,Bread,2016,tonnes,,,,
Feed,"Broad beans, horse beans, dry",2010,tonnes,192196,,,
Feed,"Broad beans, horse beans, dry",2011,tonnes,113434,,,
Feed,"Broad beans, horse beans, dry",2012,tonnes,90832,,,
Feed,"Broad beans, horse beans, dry",2013,tonnes,103175,,,
Feed,"Broad beans, horse beans, dry",2014,tonnes,128293,,,
Feed,"Broad beans, horse beans, dry",2015,tonnes,214642,,,
Feed,"Broad beans, horse beans, dry",2016,tonnes,388262,,,
Feed,"Broad beans, horse beans, dry",2017,tonnes,524126,,,
Feed,"Broad beans, horse beans, dry",2018,tonnes,243596,,,
Feed,"Broad beans, horse beans, dry",2019,tonnes,369885,,,
Tourist consumption,"Broad beans, horse beans, dry",2010,tonnes,0,,,
Tourist consumption,"Broad beans, horse beans, dry",2011,tonnes,0,,,
Tourist consumption,"Broad beans, horse beans, dry",2012,tonnes,0,,,
Tourist consumption,"Broad beans, horse beans, dry",2013,tonnes,0,,,
Tourist consumption,"Broad beans, horse beans, dry",2014,tonnes,,,,
Tourist consumption,"Broad beans, horse beans, dry",2015,tonnes,,,,
Tourist consumption,"Broad beans, horse beans, dry",2016,tonnes,,,,
Tourist consumption,"Butter, cow milk",2010,tonnes,0,,,
Tourist consumption,"Butter, cow milk",2011,tonnes,0,,,
Tourist consumption,"Butter, cow milk",2012,tonnes,0,,,
Tourist consumption,"Butter, cow milk",2013,tonnes,0,,,
Tourist consumption,"Butter, cow milk",2014,tonnes,,,,
Tourist consumption,"Butter, cow milk",2015,tonnes,,,,
Tourist consumption,"Butter, cow milk",2016,tonnes,,,,
Tourist consumption,"Butter, goat milk",2010,tonnes,0,,,
Tourist consumption,"Butter, goat milk",2011,tonnes,0,,,
Tourist consumption,"Butter, goat milk",2012,tonnes,0,,,
Tourist consumption,"Butter, goat milk",2013,tonnes,0,,,
Tourist consumption,"Butter, goat milk",2014,tonnes,,,,
Tourist consumption,"Butter, goat milk",2015,tonnes,,,,
Tourist consumption,"Butter, goat milk",2016,tonnes,,,,
Feed,"Buttermilk, curdled, acidified milk",2010,tonnes,154704,,,
Feed,"Buttermilk, curdled, acidified milk",2011,tonnes,157664,,,
Feed,"Buttermilk, curdled, acidified milk",2012,tonnes,170617,,,
Feed,"Buttermilk, curdled, acidified milk",2013,tonnes,200117,,,
Feed,"Buttermilk, curdled, acidified milk",2014,tonnes,3148109,,,
Feed,"Buttermilk, curdled, acidified milk",2015,tonnes,3191912,,,
Feed,"Buttermilk, curdled, acidified milk",2016,tonnes,2991991,,,
Feed,"Buttermilk, curdled, acidified milk",2017,tonnes,3168953,,,
Feed,"Buttermilk, curdled, acidified milk",2018,tonnes,366388,,,
Feed,"Buttermilk, curdled, acidified milk",2019,tonnes,262346,,,
